voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.833	0.381	0.774	0.774
100	5.0	0.0	11.0	0.0	1.0	1.0
97	5.0	0.258	11.0	0.0	1.0	1.0
94	4.645	0.486	11.0	0.0	1.0	1.0
91	4.226	0.425	11.0	0.0	1.0	1.0
88	4.065	0.25	11.097	0.301	1.0	1.0
85	4.0	0.0	11.484	0.508	1.0	1.0
82	4.0	0.0	11.742	0.445	1.0	1.0
79	4.0	0.0	12.0	0.0	1.0	1.0
76	3.968	0.18	12.161	0.374	1.0	1.0
73	3.806	0.402	12.387	0.495	1.0	1.0
70	3.258	0.445	13.0	0.516	1.0	1.0
67	3.032	0.18	13.452	0.506	1.0	1.0
64	3.0	0.0	14.032	0.482	1.0	1.0
61	3.0	0.0	14.871	0.846	1.0	1.0
58	3.0	0.0	15.581	0.765	1.0	1.0
55	2.774	0.425	16.774	1.203	1.0	1.0
52	1.613	0.667	19.387	1.358	1.0	1.0
49	1.065	0.359	23.033	3.728	0.968	0.968
46	0.6	0.5	28.0	5.514	0.484	0.677
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
