voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
100	1.323	1.249	13.032	0.706	1.0	1.0
97	1.839	1.951	13.032	0.18	1.0	1.0
94	1.645	1.704	13.323	0.599	1.0	1.0
91	1.323	1.249	13.581	0.807	1.0	1.0
88	1.452	1.41	13.774	0.617	1.0	1.0
85	1.29	1.131	14.194	0.543	1.0	1.0
82	1.258	0.999	14.452	0.723	1.0	1.0
79	1.129	0.718	14.774	0.805	1.0	1.0
76	1.258	0.999	15.742	1.341	1.0	1.0
73	1.516	1.363	16.258	2.16	1.0	1.0
70	1.0	0.0	15.903	1.044	1.0	1.0
67	1.29	0.902	16.903	0.978	1.0	1.0
64	1.323	0.871	17.839	1.463	1.0	1.0
61	1.0	0.0	18.581	1.177	1.0	1.0
58	1.097	0.396	19.677	1.661	1.0	1.0
55	1.226	0.617	21.645	1.38	1.0	1.0
52	1.129	0.428	23.097	2.226	1.0	1.0
49	1.032	0.18	25.645	3.583	1.0	1.0
46	1.097	0.301	29.516	4.202	1.0	1.0
43	1.0	0.0	33.452	5.303	1.0	1.0
40	0.968	0.18	38.72	7.086	0.968	0.806
37	0.968	0.18	39.267	10.518	0.968	0.484
34	0.935	0.25	33.25	15.836	0.935	0.258
31	0.935	0.25	29.5	10.607	0.935	0.065
28	0.806	0.402	49.0	0.0	0.806	0.032
