row,col,metric,n_points,threshold,dispersion,success
0,0,efficiency_toa,25,47.49999999999887,1.5140588853983759,True
0,1,efficiency_toa,25,47.809805398883874,1.8153958278613695,True
0,2,efficiency_toa,25,48.69692147609089,0.6598329928816516,True
0,3,efficiency_toa,25,48.221200501511234,1.1989521135028083,True
0,4,efficiency_toa,25,48.04628906066878,1.1047871952219581,True
0,5,efficiency_toa,25,48.50013759723585,1.3411111889210436,True
0,6,efficiency_toa,25,48.750276965631414,0.6715582738441909,True
0,7,efficiency_toa,25,48.58739137130387,0.635248091386742,True
0,8,efficiency_toa,25,48.373690065082585,0.5537024193992842,True
0,9,efficiency_toa,25,48.300353121775245,1.5516011900958555,True
0,10,efficiency_toa,25,48.70589226548258,1.4146023409178208,True
0,11,efficiency_toa,25,48.09953388970565,1.3855906590843774,True
0,12,efficiency_toa,25,48.05528939167671,2.2337797010896554,True
0,13,efficiency_toa,25,48.53179594144285,0.6225414814717283,True
0,14,efficiency_toa,25,48.411159605848546,0.5945742822774317,True
0,15,efficiency_toa,25,48.750276965631414,0.6715582738441909,True
0,16,efficiency_toa,25,47.90488883625159,1.6783661514008317,True
0,17,efficiency_toa,25,48.64167459221409,0.6475158998226697,True
0,18,efficiency_toa,25,48.51097052524503,2.125377702142837,True
0,19,efficiency_toa,25,48.53179594144285,0.6225414814717283,True
0,20,efficiency_toa,25,48.640663032869305,0.9674797414589484,True
0,21,efficiency_toa,25,48.69692147609089,0.6598329928816516,True
0,22,efficiency_toa,25,48.21325219681106,1.2185918595885463,True
0,23,efficiency_toa,25,48.3101713285946,1.2462685737223482,True
0,24,efficiency_toa,25,48.8038397644381,0.6831359701900667,True
0,25,efficiency_toa,25,48.69692147609089,0.6598329928816516,True
0,26,efficiency_toa,25,48.50013107019461,1.3411358957856057,True
0,27,efficiency_toa,25,48.70589226548258,1.4146023409178208,True
0,28,efficiency_toa,25,48.707593405086534,1.6796116151376788,True
0,29,efficiency_toa,25,48.562260320863906,0.9542731936356852,True
0,30,efficiency_toa,25,48.302364355958154,1.5114366576789058,True
0,31,efficiency_toa,25,48.58739137130387,0.635248091386742,True
1,0,efficiency_toa,25,48.56905300235768,1.185235208190848,True
1,1,efficiency_toa,25,48.17584266387324,2.1623549197437604,True
1,2,efficiency_toa,25,48.40466382678129,1.2950894416708145,True
1,3,efficiency_toa,25,48.889259589099716,2.0198909009638486,True
1,4,efficiency_toa,25,48.53179594144285,0.6225414814717283,True
1,5,efficiency_toa,25,48.85801709663675,0.6944546341773485,True
1,6,efficiency_toa,25,48.97144879425906,0.7117017974457938,True
1,7,efficiency_toa,25,49.148492953080805,1.302682577445336,True
1,8,efficiency_toa,25,48.602339852968235,0.865916324430657,True
1,9,efficiency_toa,25,48.932508320952415,2.2993879430434707,True
1,10,efficiency_toa,25,48.914966771826656,0.7050267400284902,True
1,11,efficiency_toa,25,48.76017649282022,1.1951916978442856,True
1,12,efficiency_toa,25,48.9017304052791,1.815432652455759,True
1,13,efficiency_toa,25,48.740766230927235,1.3967351077489734,True
1,14,efficiency_toa,25,48.97144879425906,0.7117017974457938,True
1,15,efficiency_toa,25,48.740766230927235,1.3967351077489734,True
1,16,efficiency_toa,25,48.602339852968235,0.865916324430657,True
1,17,efficiency_toa,25,48.52118954856008,1.6189897315931907,True
1,18,efficiency_toa,25,48.914966771826656,0.7050267400284902,True
1,19,efficiency_toa,25,48.64167459221409,0.6475158998226697,True
1,20,efficiency_toa,25,48.9017304052791,1.815432652455759,True
1,21,efficiency_toa,25,48.750276965631414,0.6715582738441909,True
1,22,efficiency_toa,25,48.602339852968235,0.865916324430657,True
1,23,efficiency_toa,25,49.437738351033204,0.9542701553421354,True
1,24,efficiency_toa,25,48.96348355537546,1.8236321662201487,True
1,25,efficiency_toa,25,48.85801709663675,0.6944546341773485,True
1,26,efficiency_toa,25,49.59533616928251,1.2950894234023618,True
1,27,efficiency_toa,25,48.691723890039,1.079350200496238,True
1,28,efficiency_toa,25,48.54980728771174,0.6931133107535574,True
1,29,efficiency_toa,25,48.76017649282022,1.1951916978442856,True
1,30,efficiency_toa,25,48.8038397644381,0.6831359701900667,True
1,31,efficiency_toa,25,49.141612643640556,0.692643666223714,True
2,0,efficiency_toa,25,49.141612643640556,0.692643666223714,True
2,1,efficiency_toa,25,48.819534921891716,1.4298336920192465,True
2,2,efficiency_toa,25,48.65533469643075,1.2376734930857847,True
2,3,efficiency_toa,25,49.06756894552329,1.4197268449042828,True
2,4,efficiency_toa,25,49.06756894552329,1.4197268449042828,True
2,5,efficiency_toa,25,48.30390976399616,1.2644311796331578,True
2,6,efficiency_toa,25,48.95581077863301,1.3783826250312807,True
2,7,efficiency_toa,25,48.40912979606443,1.5693063382124117,True
2,8,efficiency_toa,25,49.38590065513798,2.0650400751697617,True
2,9,efficiency_toa,25,48.691723890039,1.079350200496238,True
2,10,efficiency_toa,25,49.02853677811873,0.7113421878908315,True
2,11,efficiency_toa,25,49.11085006979482,1.661085606815719,True
2,12,efficiency_toa,25,49.499862395283216,1.3411111179229747,True
2,13,efficiency_toa,25,48.96348355537546,1.8236321662201487,True
2,14,efficiency_toa,25,48.691723890039,1.079350200496238,True
2,15,efficiency_toa,25,49.141612643640556,0.692643666223714,True
2,16,efficiency_toa,25,49.02853677811873,0.7113421878908315,True
2,17,efficiency_toa,25,48.7526606998621,1.5978004235285792,True
2,18,efficiency_toa,25,49.23982349299525,1.19519152734277,True
2,19,efficiency_toa,25,49.689828670788565,1.2462685728436558,True
