row,col,metric,n_points,threshold,dispersion,success
3,4,efficiency_toa,25,75.1758426674705,2.1623549690744124,True
3,5,efficiency_toa,25,75.58784007023048,1.577048903339097,True
3,6,efficiency_toa,25,75.46699523129126,1.9708507403826496,True
3,7,efficiency_toa,25,75.82908602616412,2.3387733561061395,True
3,8,efficiency_toa,25,75.4794142014718,1.5550012700743665,True
3,9,efficiency_toa,25,75.40875096570599,1.6303520317875682,True
3,10,efficiency_toa,25,75.5461164203995,2.2515689370207066,True
3,11,efficiency_toa,25,75.46057617132185,1.2213152359862864,True
4,4,efficiency_toa,25,75.2843188729689,2.0983456425437104,True
4,5,efficiency_toa,25,74.80802188254724,1.6249758985346736,True
4,6,efficiency_toa,25,75.84716840715909,1.9960557086535853,True
4,7,efficiency_toa,25,74.80274885155382,2.4628458863654465,True
4,8,efficiency_toa,25,76.03651575543549,1.8236315411389703,True
4,9,efficiency_toa,25,75.38712897605423,1.3684147011460595,True
4,10,efficiency_toa,25,76.36164856229125,1.6548693111924941,True
4,11,efficiency_toa,25,75.43153760811377,2.3172197247079245,True
5,4,efficiency_toa,25,75.69797463642483,1.8696874206957508,True
5,5,efficiency_toa,25,75.71603121629474,1.985930418860981,True
5,6,efficiency_toa,25,75.09487941661966,1.4310725334776444,True
5,7,efficiency_toa,25,74.70192939629747,1.3138134786040339,True
5,8,efficiency_toa,25,75.14846288549134,2.7660001862462344,True
5,9,efficiency_toa,25,74.80451230076505,1.606382084212649,True
5,10,efficiency_toa,25,75.05367577705539,2.0713943117148252,True
5,11,efficiency_toa,25,75.2072597291305,3.0527310222629116,True
6,4,efficiency_toa,25,76.24788503994594,2.0461104477022873,True
6,5,efficiency_toa,25,75.12746729925252,1.8491985634444454,True
6,6,efficiency_toa,25,75.71647521176143,1.99263947877608,True
6,7,efficiency_toa,25,75.18409877716718,2.0941281747923175,True
6,8,efficiency_toa,25,75.95423084392645,2.33438910586503,True
6,9,efficiency_toa,25,75.7045069320438,2.067505698836233,True
6,10,efficiency_toa,25,75.58374012852924,1.9553889579648578,True
6,11,efficiency_toa,25,75.86013262448742,2.4379597526263357,True
