row,col,metric,n_points,threshold,dispersion,success
3,3,efficiency_toa,25,46.5953361775237,1.295089455110572,True
3,4,efficiency_toa,25,45.197360926793884,1.4479677688659052,True
3,5,efficiency_toa,25,47.50000000031828,0.8098565563331042,True
3,6,efficiency_toa,25,47.49999999999887,1.5140588853983759,True
4,3,efficiency_toa,25,46.11085035018593,1.66108580271943,True
4,4,efficiency_toa,25,48.47408812340738,0.6092230943052257,True
4,5,efficiency_toa,25,47.397263918263306,1.616639392084496,True
4,6,efficiency_toa,25,47.80218930778237,1.3873373012023131,True
5,3,efficiency_toa,25,47.13745859974796,1.0055940693617025,True
5,4,efficiency_toa,25,47.4004756691024,1.4139457568925449,True
5,5,efficiency_toa,25,47.49999999999887,1.5140588853983759,True
5,6,efficiency_toa,25,47.50000001147598,0.9906863729953502,True
6,3,efficiency_toa,25,47.09511112842202,1.678366368842472,True
6,4,efficiency_toa,25,47.701412601773,1.5035820274409084,True
6,5,efficiency_toa,25,47.40160052461281,1.4166498439904855,True
6,6,efficiency_toa,25,47.60273911161525,1.6166261165516427,True
7,3,efficiency_toa,25,47.6506460225857,0.8911910012900879,True
7,4,efficiency_toa,25,47.763411775649956,0.9520737155959497,True
7,5,efficiency_toa,25,47.28283324733805,1.1341144698004035,True
7,6,efficiency_toa,25,47.396477012471664,1.2345774876643398,True
8,3,efficiency_toa,25,47.7171667636704,1.134114457611539,True
8,4,efficiency_toa,25,47.89985310535911,1.4619366971575105,True
8,5,efficiency_toa,25,47.603522987602666,1.2345774878125633,True
8,6,efficiency_toa,25,47.09511112842202,1.678366368842472,True
9,3,efficiency_toa,25,46.802639073263116,1.44796776431713,True
9,4,efficiency_toa,25,47.49987326458085,1.1551716519604334,True
9,5,efficiency_toa,25,46.900466133925434,1.385590614774467,True
9,6,efficiency_toa,25,47.702129938543486,1.3104634159885868,True
10,3,efficiency_toa,25,47.49999999999887,1.5140588853983759,True
10,4,efficiency_toa,25,47.81350264702067,1.1981232555675914,True
10,5,efficiency_toa,25,47.49999999999887,1.5140588853983759,True
10,6,efficiency_toa,25,47.95478316565368,1.0553941683592754,True
11,3,efficiency_toa,25,47.614790218969226,1.0665002995694814,True
11,4,efficiency_toa,25,47.49999999999919,1.3260719315467673,True
11,5,efficiency_toa,25,47.49999999999919,1.3260719315467673,True
11,6,efficiency_toa,25,48.09180555836943,0.4903381269235544,True
12,3,efficiency_toa,25,47.50000000003384,1.154878763754753,True
12,4,efficiency_toa,25,47.00021574611744,1.537061254186452,True
12,5,efficiency_toa,25,48.012124034018484,1.7644979362800015,True
12,6,efficiency_toa,25,47.701412601773,1.5035820274409084,True
