xs,ys
44.0,0.0
44.165829145728644,0.0
44.33165829145729,0.0
44.49748743718593,0.0
44.663316582914575,0.0
44.82914572864322,0.0
44.994974874371856,0.0
45.1608040201005,0.0
45.32663316582914,0.0
45.49246231155779,0.0
45.65829145728643,0.0
45.824120603015075,0.0
45.98994974874372,0.0
46.15577889447236,0.0
46.321608040201006,0.0
46.48743718592965,0.0
46.653266331658294,0.0
46.81909547738694,0.0
46.984924623115575,0.0
47.15075376884422,0.0
47.31658291457286,0.0
47.482412060301506,0.0
47.64824120603015,0.0
47.814070351758794,0.0
47.97989949748744,0.0
48.14572864321608,0.0
48.311557788944725,0.0
48.47738693467337,0.0
48.64321608040201,2.220446049250313e-16
48.80904522613065,1.887379141862766e-15
48.97487437185929,1.659783421814609e-14
49.14070351758794,1.3511414209688155e-13
49.30653266331658,1.0216827384113003e-12
49.472361809045225,7.164102644452441e-12
49.63819095477387,4.6594561542434576e-11
49.80402010050251,2.8112540073621517e-10
49.969849246231156,1.5736609793037815e-09
50.1356783919598,8.173931254074063e-09
50.301507537688444,3.940305465244265e-08
50.46733668341709,1.76314212008144e-07
50.633165829145725,7.324756759463646e-07
50.798994974874375,2.825854900412317e-06
50.96482412060301,1.0126845241265059e-05
51.130653266331656,3.372099263809769e-05
51.2964824120603,0.00010437180652766997
51.462311557788944,0.0003004015824940587
51.62814070351759,0.0008043898702050356
51.79396984924623,0.0020050326266574103
51.959798994974875,0.004655384034875865
52.12562814070352,0.010076524232053352
52.29145728643216,0.020351397175368935
52.4572864321608,0.038396606905051534
52.62311557788945,0.06776282065744937
52.78894472361809,0.1120456441928594
52.95477386934673,0.17392198757489064
53.120603015075375,0.2540374799393329
53.28643216080402,0.3501569391800227
53.45226130653266,0.4570155134445484
53.618090452261306,0.5670961287328975
53.78391959798995,0.6721750936517277
53.949748743718594,0.7651196829833697
54.11557788944724,0.841298746367563
54.28140703517588,0.8991549603081178
54.447236180904525,0.939871120267247
54.61306532663316,0.9664224004658675
54.77889447236181,0.9824661282758815
54.94472361809045,0.9914492123681258
