voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	4.645	2.55	9.958	0.204	0.774	0.774
100	5.903	0.301	10.032	0.18	1.0	1.0
97	5.935	0.25	10.032	0.18	1.0	1.0
94	5.613	0.495	10.065	0.25	1.0	1.0
91	5.29	0.461	10.194	0.402	1.0	1.0
88	5.065	0.25	10.71	0.461	1.0	1.0
85	5.0	0.0	10.968	0.18	1.0	1.0
82	5.0	0.0	11.0	0.0	1.0	1.0
79	4.935	0.25	11.097	0.473	1.0	1.0
76	4.677	0.475	11.387	0.495	1.0	1.0
73	4.194	0.402	11.774	0.425	1.0	1.0
70	4.0	0.0	12.161	0.583	1.0	1.0
67	4.0	0.0	12.419	0.564	1.0	1.0
64	4.0	0.0	13.032	0.657	1.0	1.0
61	4.0	0.0	13.516	0.57	1.0	1.0
58	3.903	0.301	14.419	0.807	1.0	1.0
55	3.419	0.502	15.226	0.669	1.0	1.0
52	2.935	0.512	16.419	1.232	1.0	1.0
49	2.71	0.529	17.419	1.177	1.0	1.0
46	2.161	0.374	18.903	1.106	1.0	1.0
43	2.032	0.315	22.258	2.84	1.0	1.0
40	1.433	0.774	27.346	5.878	0.806	0.839
37	0.2	0.551	32.6	3.847	0.129	0.161
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
