voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	11.0	0.0	0.774	0.774
100	5.0	0.0	11.032	0.18	1.0	1.0
97	5.0	0.0	11.161	0.374	1.0	1.0
94	4.839	0.374	11.226	0.425	1.0	1.0
91	4.806	0.402	11.742	0.445	1.0	1.0
88	4.323	0.475	12.065	0.25	1.0	1.0
85	4.097	0.301	12.194	0.402	1.0	1.0
82	4.0	0.0	12.548	0.506	1.0	1.0
79	4.0	0.0	12.935	0.359	1.0	1.0
76	4.0	0.0	13.452	0.506	1.0	1.0
73	3.903	0.301	13.839	0.523	1.0	1.0
70	3.71	0.461	14.258	0.575	1.0	1.0
67	3.194	0.402	14.839	0.523	1.0	1.0
64	2.968	0.18	15.968	1.048	1.0	1.0
61	2.903	0.301	17.097	0.7	1.0	1.0
58	2.387	0.495	18.258	1.182	1.0	1.0
55	2.065	0.359	20.097	2.241	1.0	1.0
52	1.6	0.498	24.742	3.898	0.968	1.0
49	0.889	0.424	29.333	4.288	0.742	0.871
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
