col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	7	82	4.0	0.0	12.871	0.341	1.0	1.0
3	7	79	4.0	0.0	13.194	0.477	1.0	1.0
3	7	76	3.935	0.25	13.645	0.709	1.0	1.0
3	7	73	3.742	0.445	13.839	0.523	1.0	1.0
3	7	70	3.484	0.508	14.581	0.765	1.0	1.0
3	7	67	3.226	0.425	15.194	0.792	1.0	1.0
3	7	64	3.0	0.258	16.194	0.98	1.0	1.0
3	7	61	3.0	0.0	16.387	0.919	1.0	1.0
3	7	58	2.581	0.502	18.032	1.516	1.0	1.0
3	7	55	2.0	0.0	21.516	4.639	0.968	1.0
3	7	52	1.774	0.425	23.0	2.236	1.0	1.0
3	7	49	0.852	0.662	29.348	5.499	0.613	0.742
3	7	46	0.1	0.403	28.0	7.937	0.065	0.097
3	7	43	0.0	0.0	nan	nan	0.0	0.0
3	7	40	0.0	0.0	nan	nan	0.0	0.0
3	7	37	0.0	0.0	nan	nan	0.0	0.0
3	7	34	0.0	0.0	nan	nan	0.0	0.0
3	7	31	0.0	0.0	nan	nan	0.0	0.0
3	7	28	0.0	0.0	nan	nan	0.0	0.0
3	8	100	5.0	0.0	11.548	0.506	1.0	1.0
3	8	97	5.0	0.0	11.71	0.461	1.0	1.0
3	8	94	4.839	0.374	11.968	0.18	1.0	1.0
3	8	91	4.516	0.508	12.097	0.396	1.0	1.0
3	8	88	4.065	0.25	12.161	0.374	1.0	1.0
3	8	85	4.0	0.0	12.677	0.653	1.0	1.0
3	8	82	4.0	0.0	12.871	0.562	1.0	1.0
3	8	79	4.0	0.0	13.129	0.341	1.0	1.0
3	8	76	4.0	0.0	13.452	0.568	1.0	1.0
3	8	73	3.903	0.301	13.903	0.597	1.0	1.0
3	8	70	3.323	0.475	14.323	0.702	1.0	1.0
3	8	67	3.161	0.374	15.29	0.864	1.0	1.0
3	8	64	3.0	0.0	16.032	0.836	1.0	1.0
3	8	61	2.935	0.359	16.903	0.944	1.0	1.0
3	8	58	2.613	0.495	17.871	1.586	1.0	1.0
3	8	55	2.226	0.425	19.806	1.851	1.0	1.0
3	8	52	1.774	0.425	23.613	2.86	1.0	1.0
3	8	49	1.067	0.691	27.32	3.727	0.774	0.806
3	8	46	0.032	0.18	28.0	0.0	0.032	0.032
3	8	43	0.0	0.0	nan	nan	0.0	0.0
3	8	40	0.0	0.0	nan	nan	0.0	0.0
3	8	37	0.0	0.0	nan	nan	0.0	0.0
3	8	34	0.0	0.0	nan	nan	0.0	0.0
3	8	31	0.0	0.0	nan	nan	0.0	0.0
3	8	28	0.0	0.0	nan	nan	0.0	0.0
3	9	100	4.968	0.18	11.645	0.486	1.0	1.0
3	9	97	4.968	0.18	11.677	0.475	1.0	1.0
3	9	94	4.806	0.402	11.935	0.25	1.0	1.0
3	9	91	4.355	0.486	12.032	0.18	1.0	1.0
3	9	88	4.226	0.425	12.226	0.497	1.0	1.0
3	9	85	4.032	0.18	12.645	0.661	1.0	1.0
3	9	82	4.0	0.0	12.935	0.359	1.0	1.0
3	9	79	3.968	0.18	13.226	0.425	1.0	1.0
3	9	76	3.968	0.18	13.548	0.506	1.0	1.0
3	9	73	3.871	0.341	13.935	0.892	1.0	1.0
3	9	70	3.581	0.502	14.419	0.62	1.0	1.0
3	9	67	3.29	0.461	15.194	0.601	1.0	1.0
3	9	64	3.032	0.18	15.839	0.735	1.0	1.0
3	9	61	2.935	0.25	16.839	2.051	1.0	1.0
3	9	58	2.452	0.568	18.194	1.493	1.0	1.0
3	9	55	2.0	0.258	21.0	1.844	1.0	1.0
3	9	52	1.8	0.484	23.419	3.304	0.968	1.0
3	9	49	1.167	0.791	27.792	4.662	0.742	0.774
