voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	10.0	0.0	0.774	0.774
100	5.0	0.0	10.065	0.25	1.0	1.0
97	4.968	0.315	10.0	0.258	1.0	1.0
94	4.71	0.461	10.258	0.445	1.0	1.0
91	4.484	0.508	10.548	0.506	1.0	1.0
88	4.097	0.301	10.935	0.25	1.0	1.0
85	4.0	0.0	11.065	0.25	1.0	1.0
82	4.0	0.0	11.097	0.301	1.0	1.0
79	3.968	0.18	11.323	0.475	1.0	1.0
76	4.0	0.0	11.645	0.486	1.0	1.0
73	3.71	0.461	12.032	0.482	1.0	1.0
70	3.129	0.341	12.419	0.502	1.0	1.0
67	3.097	0.301	12.645	0.551	1.0	1.0
64	3.0	0.0	13.258	0.445	1.0	1.0
61	3.032	0.18	13.677	0.748	1.0	1.0
58	2.935	0.25	14.484	0.724	1.0	1.0
55	2.71	0.529	16.387	2.445	1.0	1.0
52	2.097	0.597	17.258	1.483	1.0	1.0
49	1.533	0.571	18.935	1.504	0.968	1.0
46	0.6	0.577	24.1	6.257	0.452	0.645
43	0.0	0.0	28.5	10.607	0.0	0.065
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
