row	col	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	3.0	1.754	12.767	0.568	0.75	0.75
0	0	4.0	0.0	13.2	0.405	1.0	1.0
0	0	3.975	0.158	13.775	0.768	1.0	1.0
0	0	3.65	0.533	14.525	0.599	1.0	1.0
0	0	3.325	0.526	15.175	1.035	1.0	1.0
0	0	3.075	0.267	15.975	0.698	1.0	1.0
0	0	2.875	0.463	17.375	1.125	1.0	1.0
0	0	2.475	0.599	18.8	1.091	1.0	1.0
0	0	2.075	0.35	20.45	1.535	1.0	1.0
0	0	1.59	0.498	24.0	3.434	0.975	1.0
0	0	1.059	0.489	29.0	5.217	0.775	0.925
0	0	0.25	0.5	32.5	5.992	0.2	0.3
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	1	3.0	1.754	12.6	0.498	0.75	0.75
0	1	3.975	0.158	13.3	0.648	1.0	1.0
0	1	4.0	0.0	13.725	0.877	1.0	1.0
0	1	3.725	0.506	14.375	0.979	1.0	1.0
0	1	3.375	0.49	15.15	0.662	1.0	1.0
0	1	3.0	0.226	16.525	0.905	1.0	1.0
0	1	2.85	0.427	17.5	1.261	1.0	1.0
0	1	2.5	0.555	19.1	1.549	1.0	1.0
0	1	1.9	0.379	20.525	1.485	1.0	1.0
0	1	1.475	0.506	23.625	2.361	1.0	1.0
0	1	1.105	0.388	27.641	3.977	0.925	0.975
0	1	0.079	0.273	32.4	6.066	0.075	0.125
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	2	2.9	1.809	12.828	0.539	0.725	0.725
0	2	4.0	0.0	13.2	0.883	1.0	1.0
0	2	3.975	0.158	13.575	0.712	1.0	1.0
0	2	3.8	0.405	14.55	0.639	1.0	1.0
0	2	3.325	0.474	15.55	0.846	1.0	1.0
0	2	2.975	0.158	16.425	1.238	1.0	1.0
0	2	2.85	0.362	17.275	0.96	1.0	1.0
0	2	2.325	0.526	18.775	1.0	1.0	1.0
0	2	1.975	0.48	20.75	1.765	1.0	1.0
0	2	1.55	0.504	23.625	1.917	1.0	1.0
0	2	0.912	0.452	28.771	5.134	0.725	0.875
0	2	0.281	0.457	33.765	5.739	0.225	0.425
0	2	0.0	0.0	nan	nan	0.0	0.0
0	2	0.0	0.0	nan	nan	0.0	0.0
0	2	0.0	0.0	nan	nan	0.0	0.0
0	2	0.0	0.0	nan	nan	0.0	0.0
0	2	0.0	0.0	nan	nan	0.0	0.0
0	2	0.0	0.0	nan	nan	0.0	0.0
0	3	2.9	1.809	12.759	0.577	0.725	0.725
0	3	4.0	0.0	13.225	0.423	1.0	1.0
0	3	3.975	0.158	13.775	0.577	1.0	1.0
0	3	3.8	0.405	14.625	0.74	1.0	1.0
0	3	3.45	0.504	15.175	0.594	1.0	1.0
0	3	3.05	0.221	16.0	1.062	1.0	1.0
0	3	2.875	0.335	17.4	0.982	1.0	1.0
0	3	2.3	0.464	19.025	1.23	1.0	1.0
0	3	1.975	0.276	21.05	1.632	1.0	1.0
0	3	1.525	0.506	23.175	1.412	1.0	1.0
0	3	1.156	0.448	28.538	4.784	0.775	0.975
0	3	0.086	0.284	34.25	2.605	0.075	0.2
0	3	0.0	0.0	nan	nan	0.0	0.0
0	3	0.0	0.0	nan	nan	0.0	0.0
0	3	0.0	0.0	nan	nan	0.0	0.0
0	3	0.0	0.0	nan	nan	0.0	0.0
0	3	0.0	0.0	nan	nan	0.0	0.0
0	3	0.0	0.0	nan	nan	0.0	0.0
0	4	2.925	1.831	12.724	0.528	0.725	0.725
0	4	4.0	0.0	13.325	0.616	1.0	1.0
0	4	4.0	0.0	13.75	0.494	1.0	1.0
0	4	3.875	0.335	14.55	0.552	1.0	1.0
0	4	3.475	0.506	15.375	0.74	1.0	1.0
0	4	3.075	0.267	16.3	0.791	1.0	1.0
0	4	2.825	0.385	17.625	1.079	1.0	1.0
0	4	2.425	0.549	19.075	1.248	1.0	1.0
0	4	1.95	0.221	20.775	1.121	1.0	1.0
0	4	1.525	0.506	23.35	1.875	1.0	1.0
0	4	1.118	0.537	28.351	5.229	0.775	0.925
0	4	0.121	0.331	35.727	4.735	0.1	0.275
0	4	0.0	0.0	nan	nan	0.0	0.0
0	4	0.0	0.0	nan	nan	0.0	0.0
0	4	0.0	0.0	nan	nan	0.0	0.0
0	4	0.0	0.0	nan	nan	0.0	0.0
0	4	0.0	0.0	nan	nan	0.0	0.0
0	4	0.0	0.0	nan	nan	0.0	0.0
0	5	2.9	1.809	12.655	0.484	0.725	0.725
0	5	4.0	0.0	13.3	0.564	1.0	1.0
0	5	4.0	0.0	13.825	0.549	1.0	1.0
0	5	3.775	0.423	14.525	0.784	1.0	1.0
0	5	3.3	0.464	15.275	0.751	1.0	1.0
0	5	3.1	0.304	16.075	0.73	1.0	1.0
0	5	2.9	0.379	17.325	1.071	1.0	1.0
0	5	2.4	0.496	19.0	1.826	1.0	1.0
0	5	2.025	0.423	20.9	2.036	1.0	1.0
0	5	1.59	0.549	23.875	3.164	0.975	1.0
0	5	1.03	0.394	30.0	4.916	0.775	0.95
0	5	0.25	0.439	31.769	4.438	0.225	0.325
0	5	0.0	0.0	nan	nan	0.0	0.0
0	5	0.0	0.0	nan	nan	0.0	0.0
0	5	0.0	0.0	nan	nan	0.0	0.0
0	5	0.0	0.0	nan	nan	0.0	0.0
0	5	0.0	0.0	nan	nan	0.0	0.0
0	5	0.0	0.0	nan	nan	0.0	0.0
0	6	2.925	1.831	12.828	0.468	0.725	0.725
0	6	3.975	0.158	13.05	0.45	1.0	1.0
0	6	3.875	0.335	13.7	0.516	1.0	1.0
0	6	3.875	0.335	14.35	0.662	1.0	1.0
0	6	3.425	0.501	15.2	0.723	1.0	1.0
0	6	3.025	0.276	16.375	0.925	1.0	1.0
0	6	2.975	0.357	17.2	1.067	1.0	1.0
0	6	2.3	0.464	19.075	1.228	1.0	1.0
0	6	1.85	0.362	20.725	1.467	1.0	1.0
0	6	1.55	0.504	23.35	1.626	1.0	1.0
0	6	1.088	0.379	28.59	4.778	0.825	0.975
0	6	0.188	0.397	35.143	5.816	0.15	0.35
0	6	0.0	0.0	nan	nan	0.0	0.0
0	6	0.0	0.0	nan	nan	0.0	0.0
0	6	0.0	0.0	nan	nan	0.0	0.0
0	6	0.0	0.0	nan	nan	0.0	0.0
0	6	0.0	0.0	nan	nan	0.0	0.0
0	6	0.0	0.0	nan	nan	0.0	0.0
0	7	2.925	1.831	12.793	0.491	0.725	0.725
0	7	4.025	0.158	13.15	0.483	1.0	1.0
0	7	3.975	0.158	13.9	0.672	1.0	1.0
0	7	3.85	0.362	14.45	0.932	1.0	1.0
0	7	3.35	0.533	15.2	0.608	1.0	1.0
0	7	3.075	0.267	16.1	0.9	1.0	1.0
0	7	2.75	0.439	17.3	1.265	1.0	1.0
0	7	2.6	0.545	18.8	1.99	1.0	1.0
0	7	1.975	0.577	20.825	1.517	1.0	1.0
0	7	1.575	0.501	24.2	2.614	1.0	1.0
0	7	1.108	0.516	28.135	4.436	0.85	0.925
0	7	0.057	0.236	32.857	7.988	0.05	0.175
0	7	0.0	0.0	nan	nan	0.0	0.0
0	7	0.0	0.0	nan	nan	0.0	0.0
0	7	0.0	0.0	nan	nan	0.0	0.0
0	7	0.0	0.0	nan	nan	0.0	0.0
0	7	0.0	0.0	nan	nan	0.0	0.0
0	7	0.0	0.0	nan	nan	0.0	0.0
0	8	2.9	1.809	12.759	0.435	0.725	0.725
0	8	4.0	0.0	13.3	0.464	1.0	1.0
0	8	4.0	0.226	13.725	0.599	1.0	1.0
0	8	3.7	0.464	14.475	0.784	1.0	1.0
0	8	3.375	0.49	15.275	0.905	1.0	1.0
0	8	3.025	0.158	16.4	0.744	1.0	1.0
0	8	2.925	0.417	17.375	1.055	1.0	1.0
0	8	2.35	0.533	18.925	1.141	1.0	1.0
0	8	2.025	0.62	20.825	1.647	1.0	1.0
0	8	1.575	0.501	23.725	3.004	1.0	1.0
0	8	1.105	0.509	28.351	3.474	0.875	0.925
0	8	0.086	0.284	36.125	2.475	0.075	0.2
0	8	0.0	0.0	nan	nan	0.0	0.0
0	8	0.0	0.0	nan	nan	0.0	0.0
0	8	0.0	0.0	nan	nan	0.0	0.0
0	8	0.0	0.0	nan	nan	0.0	0.0
0	8	0.0	0.0	nan	nan	0.0	0.0
0	8	0.0	0.0	nan	nan	0.0	0.0
