row	col	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	2.425	1.466	16.167	0.648	0.75	0.75
0	0	3.0	0.0	16.85	0.975	1.0	1.0
0	0	2.425	0.501	18.625	1.102	1.0	1.0
0	0	2.15	0.427	19.775	1.561	1.0	1.0
0	0	2.025	0.357	22.7	2.766	1.0	1.0
0	0	1.41	0.677	26.278	5.512	0.875	0.9
0	0	0.351	0.538	31.533	6.198	0.3	0.375
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	0	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
0	1	0.0	0.0	nan	nan	0.0	0.0
