voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
55	2.74	0.836	15.076	0.917	0.92	0.92
54	2.97	0.171	15.44	0.967	1.0	1.0
53	2.99	0.1	15.65	0.978	1.0	1.0
52	2.93	0.293	16.3	1.299	1.0	1.0
51	2.93	0.256	16.57	1.037	1.0	1.0
50	2.78	0.462	17.58	2.152	1.0	1.0
49	2.56	0.641	17.71	1.32	1.0	1.0
48	2.17	0.779	18.41	1.491	1.0	1.0
47	1.79	0.715	19.27	1.399	1.0	1.0
46	1.42	0.589	20.323	1.883	0.99	0.99
45	1.33	0.533	20.747	1.913	0.99	0.99
44	1.134	0.399	23.0	3.327	0.95	0.98
43	1.0	0.417	25.087	4.26	0.85	0.92
42	0.886	0.466	26.894	5.171	0.73	0.85
41	0.382	0.489	28.956	5.527	0.34	0.45
40	0.098	0.299	30.588	6.404	0.09	0.17
39	0.01	0.101	26.5	2.121	0.01	0.02
38	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
36	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
33	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
30	0.0	0.0	nan	nan	0.0	0.0
