voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.125	11.625	0.495	0.774	0.774
100	4.903	0.301	11.903	0.301	1.0	1.0
97	4.677	0.475	12.032	0.18	1.0	1.0
94	4.226	0.425	12.226	0.425	1.0	1.0
91	4.065	0.25	12.613	0.495	1.0	1.0
88	4.032	0.18	12.806	0.477	1.0	1.0
85	4.0	0.0	13.258	0.514	1.0	1.0
82	4.0	0.0	13.71	0.529	1.0	1.0
79	3.742	0.445	14.129	0.562	1.0	1.0
76	3.419	0.502	14.581	0.62	1.0	1.0
73	3.097	0.301	15.097	0.597	1.0	1.0
70	3.032	0.18	15.935	0.727	1.0	1.0
67	2.968	0.18	16.71	0.739	1.0	1.0
64	2.516	0.508	18.097	1.044	1.0	1.0
61	1.903	0.301	19.774	1.203	1.0	1.0
58	1.355	0.486	22.452	3.161	1.0	1.0
55	0.893	0.416	28.963	4.433	0.774	0.871
52	0.1	0.305	32.0	3.367	0.097	0.129
49	0.0	0.0	nan	nan	0.0	0.0
46	0.0	0.0	nan	nan	0.0	0.0
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
