voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
83	3.258	1.825	12.417	0.584	0.774	0.774
80	4.032	0.18	12.968	1.016	1.0	1.0
77	3.903	0.301	13.387	1.856	1.0	1.0
74	4.0	0.258	13.419	0.564	1.0	1.0
71	3.9	0.403	14.226	1.875	0.968	1.0
68	3.677	0.475	14.226	0.717	1.0	1.0
65	3.387	0.495	14.903	0.831	1.0	1.0
62	3.097	0.301	15.839	1.369	1.0	1.0
59	2.871	0.341	16.903	1.221	1.0	1.0
56	2.548	0.624	18.71	2.466	1.0	1.0
53	1.968	0.407	21.871	4.217	1.0	1.0
50	1.733	0.521	24.7	4.12	0.935	0.968
47	0.96	0.735	30.739	7.521	0.581	0.742
44	0.0	0.0	40.0	0.0	0.0	0.032
41	0.0	0.0	nan	nan	0.0	0.0
38	0.0	0.0	nan	nan	0.0	0.0
35	0.0	0.0	nan	nan	0.0	0.0
32	0.0	0.0	nan	nan	0.0	0.0
29	0.0	0.0	nan	nan	0.0	0.0
