row,col,metric,n_points,threshold,dispersion,success
0,0,efficiency_toa,25,45.24268035878528,0.6526190332483447,True
0,1,efficiency_toa,25,49.299941871135196,1.7297456660022061,True
0,2,efficiency_toa,25,49.500000000003666,1.7324839869892563,True
0,3,efficiency_toa,25,49.045216834623325,1.055394168613837,True
0,4,efficiency_toa,25,48.505295271252535,0.5853405775938617,True
0,5,efficiency_toa,25,49.09511115361452,1.6783662341060002,True
0,6,efficiency_toa,25,49.181734824245694,1.8514127378202583,True
0,7,efficiency_toa,25,48.802639073294856,1.4479677683175227,True
0,8,efficiency_toa,25,49.70212993798891,1.310463413564735,True
0,9,efficiency_toa,25,50.37137765423839,0.5557467532177566,True
0,10,efficiency_toa,25,49.60247062856476,1.8443051737650273,True
0,11,efficiency_toa,25,49.28283326166585,1.1341144857367844,True
0,12,efficiency_toa,25,49.89985310338975,1.4619367036440707,True
0,13,efficiency_toa,25,49.802641512076136,1.3925765135605692,True
0,14,efficiency_toa,25,49.76338731992956,0.952124449387023,True
0,15,efficiency_toa,25,49.6027391132253,1.6166261411910092,True
0,16,efficiency_toa,25,50.04628906065195,1.1047871950786508,True
0,17,efficiency_toa,25,49.197810694005994,1.3873372932614934,True
0,18,efficiency_toa,25,49.59952433083822,1.4139457561805862,True
0,19,efficiency_toa,25,49.70317703874846,1.5118181229166778,True
0,20,efficiency_toa,25,49.18074253910861,2.056992976543457,True
0,21,efficiency_toa,25,49.34935397795529,0.8911910017100343,True
0,22,efficiency_toa,25,49.28283326166585,1.1341144857367844,True
0,23,efficiency_toa,25,49.08933289709985,1.2618488057125439,True
0,24,efficiency_toa,25,50.131521628199515,1.156350947188627,True
0,25,efficiency_toa,25,49.61084547798195,1.8747933725663168,True
0,26,efficiency_toa,25,49.701412602324915,1.5035820336696715,True
0,27,efficiency_toa,25,49.49999999999945,1.3260719307271622,True
0,28,efficiency_toa,25,50.04628906065195,1.1047871950786508,True
0,29,efficiency_toa,25,49.29858739787635,1.5035820320345612,True
0,30,efficiency_toa,25,49.38520981037212,1.066500332493402,True
0,31,efficiency_toa,25,49.500611134879776,1.3276952212608788,True
1,0,efficiency_toa,25,63.23615843553421,1.6712661194524054,True
1,1,efficiency_toa,25,63.41216008411554,1.5770480112314176,True
1,2,efficiency_toa,25,63.42484601210001,2.309184477555603,True
1,3,efficiency_toa,25,62.90067879399095,1.8223542604118845,True
1,4,efficiency_toa,25,63.68982866398427,1.2462683726351602,True
1,5,efficiency_toa,25,63.247885892223195,2.0461053502805573,True
1,6,efficiency_toa,25,63.11073684763322,2.01988611084425,True
1,7,efficiency_toa,25,63.89672669668829,1.6120181847981656,True
1,8,efficiency_toa,25,63.067569114861456,1.419727482094737,True
1,9,efficiency_toa,25,63.22608177893224,1.802077993373515,True
1,10,efficiency_toa,25,62.40466379556899,1.295089453334551,True
1,11,efficiency_toa,25,62.81850109614949,1.5892482616741832,True
1,12,efficiency_toa,25,63.6996469368226,1.551600624293825,True
1,13,efficiency_toa,25,63.236158953132666,1.6712687041745553,True
1,14,efficiency_toa,25,63.499862387275506,1.3411110699566935,True
1,15,efficiency_toa,25,62.65533589749197,1.2376629037505096,True
1,16,efficiency_toa,25,63.11085130046867,1.6610861144041273,True
1,17,efficiency_toa,25,63.5107106223328,1.3972777544051693,True
1,18,efficiency_toa,25,64.59952444698463,1.4139466677067483,True
1,19,efficiency_toa,25,63.59533621642338,1.2950892505469558,True
1,20,efficiency_toa,25,63.148493173360855,1.3026799136328333,True
1,21,efficiency_toa,25,62.60163205494696,1.713556749004411,True
1,22,efficiency_toa,25,63.672279286636424,1.7527518984085269,True
1,23,efficiency_toa,25,63.90046608831232,1.3855907284261066,True
1,24,efficiency_toa,25,63.59087018913975,1.5693064014785088,True
1,25,efficiency_toa,25,64.60273911058317,1.6166261010935892,True
1,26,efficiency_toa,25,63.35933253897911,0.9674672023840478,True
1,27,efficiency_toa,25,63.29410780314271,1.414602104791045,True
1,28,efficiency_toa,25,64.03698503985457,2.5365290909147067,True
1,29,efficiency_toa,25,64.10014689387896,1.4619366870220887,True
1,30,efficiency_toa,25,64.28293554463666,1.1342556768422964,True
1,31,efficiency_toa,25,64.4004756802903,1.4139456492317002,True
2,0,efficiency_toa,25,51.59087021261633,1.5693062797768957,True
2,1,efficiency_toa,25,64.04521694460728,1.0553942846267832,True
2,2,efficiency_toa,25,63.59087018913975,1.5693064014785088,True
2,3,efficiency_toa,25,63.724577325839924,2.1410754289130045,True
2,4,efficiency_toa,25,63.55446054800686,1.8075534149134662,True
2,5,efficiency_toa,25,63.80345547620895,1.4498643887923113,True
2,6,efficiency_toa,25,63.89672669668829,1.6120181847981656,True
2,7,efficiency_toa,25,64.29858742017208,1.5035819165981028,True
2,8,efficiency_toa,25,64.39337509296003,2.08329662347295,True
2,9,efficiency_toa,25,64.38525566702596,1.0665662674809426,True
2,10,efficiency_toa,25,63.403945180703744,0.6219099567814769,True
2,11,efficiency_toa,25,64.19781069141621,1.3873373040722807,True
2,12,efficiency_toa,25,63.87257184463974,1.8483285162141831,True
2,13,efficiency_toa,25,63.756245305922185,1.9203813644284338,True
2,14,efficiency_toa,25,64.18631076976315,1.1978539887915478,True
2,15,efficiency_toa,25,63.91131062891379,2.6402921440888134,True
2,16,efficiency_toa,25,63.963471638443046,2.001979588076186,True
2,17,efficiency_toa,25,64.50000000000001,1.1548787634844215,True
2,18,efficiency_toa,25,63.98787601885538,1.7644976655355162,True
2,19,efficiency_toa,25,64.81826523873923,1.8514129382597404,True
