voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	4.129	2.306	10.625	0.495	0.774	0.774
100	5.065	0.25	10.935	0.25	1.0	1.0
97	5.0	0.0	11.0	0.0	1.0	1.0
94	5.0	0.0	11.097	0.301	1.0	1.0
91	5.0	0.0	11.097	0.301	1.0	1.0
88	4.677	0.475	11.613	0.495	1.0	1.0
85	4.613	0.495	11.935	0.359	1.0	1.0
82	4.194	0.402	12.097	0.301	1.0	1.0
79	4.0	0.0	12.323	0.475	1.0	1.0
76	3.968	0.18	12.774	0.425	1.0	1.0
73	4.0	0.0	13.29	0.529	1.0	1.0
70	3.968	0.18	13.806	0.477	1.0	1.0
67	3.581	0.502	14.548	0.925	1.0	1.0
64	3.258	0.445	14.968	0.657	1.0	1.0
61	3.0	0.0	15.806	0.749	1.0	1.0
58	2.903	0.301	17.097	1.7	1.0	1.0
55	2.548	0.506	18.194	1.47	1.0	1.0
52	2.065	0.359	20.581	2.029	1.0	1.0
49	1.645	0.486	24.355	3.755	1.0	1.0
46	1.037	0.649	29.231	4.598	0.71	0.839
43	0.0	0.0	nan	nan	0.0	0.0
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
