voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	4.452	2.474	10.125	0.338	0.774	0.774
100	5.419	0.502	10.387	0.495	1.0	1.0
97	5.097	0.301	10.774	0.425	1.0	1.0
94	5.0	0.0	10.935	0.25	1.0	1.0
91	5.0	0.0	10.968	0.18	1.0	1.0
88	5.0	0.0	11.065	0.25	1.0	1.0
85	4.935	0.25	11.161	0.374	1.0	1.0
82	4.484	0.508	11.645	0.486	1.0	1.0
79	4.29	0.461	11.903	0.539	1.0	1.0
76	4.032	0.18	12.097	0.539	1.0	1.0
73	4.032	0.18	12.581	0.502	1.0	1.0
70	3.968	0.18	13.097	0.396	1.0	1.0
67	3.968	0.18	13.387	0.615	1.0	1.0
64	3.742	0.445	14.065	0.512	1.0	1.0
61	3.452	0.506	14.839	0.735	1.0	1.0
58	3.097	0.301	15.806	0.601	1.0	1.0
55	2.903	0.396	16.871	0.957	1.0	1.0
52	2.452	0.506	18.226	1.257	1.0	1.0
49	2.065	0.25	20.226	1.802	1.0	1.0
46	1.774	0.56	23.533	3.821	0.968	0.968
43	1.103	0.86	29.227	3.903	0.645	0.71
40	0.0	0.0	nan	nan	0.0	0.0
37	0.0	0.0	nan	nan	0.0	0.0
34	0.0	0.0	nan	nan	0.0	0.0
31	0.0	0.0	nan	nan	0.0	0.0
28	0.0	0.0	nan	nan	0.0	0.0
