row,col,tdac_code,tup,mu,sigma
24,6,0,0,48.15,2.0
24,7,0,0,47.0,1.33
25,0,0,0,37.7,1.31
25,1,0,0,74.53,0.63
25,2,0,0,50.97,1.8
25,3,0,0,69.02,1.98
25,4,0,0,48.41,1.58
25,5,0,0,58.91,1.27
25,6,0,0,45.87,1.15
25,7,0,0,53.06,2.23
26,0,0,0,47.6,1.38
26,1,0,0,50.28,2.1
26,2,0,0,48.78,1.21
26,3,0,0,60.16,2.37
26,4,0,0,53.21,2.27
26,5,0,0,56.12,1.88
26,6,0,0,56.33,2.46
26,7,0,0,49.0,1.32
27,0,0,0,65.0,1.32
27,1,0,0,46.72,2.0
27,2,0,0,58.16,2.12
27,3,0,0,55.3,2.71
27,4,0,0,45.29,1.41
27,5,0,0,61.3,1.72
27,6,0,0,57.85,2.08
27,7,0,0,48.5,1.34
28,0,0,0,56.22,1.74
28,1,0,0,59.97,0.7
28,2,0,0,50.34,1.82
28,3,0,0,45.08,0.69
28,4,0,0,52.4,1.41
28,5,0,0,58.29,1.95
28,6,0,0,52.3,1.72
28,7,0,0,52.61,1.07
29,0,0,0,65.24,1.94
29,1,0,0,51.16,1.76
29,2,0,0,48.48,1.62
29,3,0,0,44.69,1.08
29,4,0,0,64.3,1.5
29,5,0,0,51.78,1.21
29,6,0,0,44.64,0.97
29,7,0,0,62.62,2.12
30,0,0,0,55.09,1.93
30,1,0,0,59.67,1.89
30,2,0,0,58.2,1.39
30,3,0,0,68.6,0.87
30,4,0,0,51.59,1.63
30,5,0,0,57.9,1.4
30,6,0,0,52.39,2.08
30,7,0,0,48.67,1.75
31,0,0,0,72.42,1.95
31,1,0,0,53.91,2.28
31,2,0,0,56.82,1.59
31,3,0,0,60.72,2.14
31,4,0,0,60.69,1.25
31,5,0,0,51.52,1.47
31,6,0,0,52.61,2.08
31,7,0,0,56.64,1.65
