row,col,voltage,tot_avg,tot_std,toa_avg,toa_std,efficiency_tot,efficiency_toa,tup,tdac_code
4,0,69,2.0,0.365,19.839,1.267,1.0,1.0,0,0
4,0,66,1.839,0.374,20.581,1.089,1.0,1.0,0,0
4,0,63,1.452,0.568,22.355,1.704,1.0,1.0,0,0
4,0,60,1.129,0.341,24.452,2.014,1.0,1.0,0,0
4,0,57,0.793,0.491,27.208,3.413,0.71,0.774,0,0
4,0,54,0.167,0.379,31.167,3.312,0.161,0.194,0,0
4,0,51,0.0,0.0,,,0.0,0.0,0,0
4,0,48,0.0,0.0,,,0.0,0.0,0,0
4,0,45,0.0,0.0,,,0.0,0.0,0,0
4,0,42,0.0,0.0,,,0.0,0.0,0,0
4,0,39,0.0,0.0,,,0.0,0.0,0,0
4,0,36,0.0,0.0,,,0.0,0.0,0,0
4,0,33,0.0,0.0,,,0.0,0.0,0,0
4,0,30,0.0,0.0,,,0.0,0.0,0,0
5,0,87,4.097,0.301,16.645,0.486,1.0,1.0,0,0
5,0,84,4.0,0.365,17.323,0.475,1.0,1.0,0,0
5,0,81,3.742,0.445,17.871,0.763,1.0,1.0,0,0
5,0,78,3.452,0.506,18.419,0.62,1.0,1.0,0,0
5,0,75,3.0,0.258,19.194,0.833,1.0,1.0,0,0
5,0,72,2.871,0.341,19.871,0.806,1.0,1.0,0,0
5,0,69,2.516,0.508,20.516,0.996,1.0,1.0,0,0
5,0,66,2.097,0.396,22.0,1.155,1.0,1.0,0,0
5,0,63,2.032,0.18,23.839,1.655,1.0,1.0,0,0
5,0,60,2.0,0.0,25.581,2.527,1.0,1.0,0,0
5,0,57,1.967,0.183,28.355,3.684,0.968,1.0,0,0
5,0,54,1.581,0.672,31.679,3.289,0.903,0.903,0,0
5,0,51,0.586,0.78,35.143,4.111,0.387,0.452,0,0
5,0,48,0.0,0.0,,,0.0,0.0,0,0
5,0,45,0.0,0.0,,,0.0,0.0,0,0
5,0,42,0.0,0.0,,,0.0,0.0,0,0
5,0,39,0.0,0.0,,,0.0,0.0,0,0
5,0,36,0.0,0.0,,,0.0,0.0,0,0
5,0,33,0.0,0.0,,,0.0,0.0,0,0
5,0,30,0.0,0.0,,,0.0,0.0,0,0
6,0,87,4.097,0.396,16.935,0.68,1.0,1.0,0,0
6,0,84,3.871,0.341,17.548,0.568,1.0,1.0,0,0
6,0,81,3.548,0.568,18.129,0.67,1.0,1.0,0,0
6,0,78,3.419,0.502,18.419,0.72,1.0,1.0,0,0
6,0,75,3.0,0.365,19.452,1.15,1.0,1.0,0,0
6,0,72,2.581,0.62,20.097,1.3,1.0,1.0,0,0
6,0,69,2.194,0.402,21.097,1.044,1.0,1.0,0,0
6,0,66,2.032,0.18,22.548,1.207,1.0,1.0,0,0
6,0,63,2.0,0.0,24.548,1.947,1.0,1.0,0,0
6,0,60,2.0,0.0,25.516,1.338,1.0,1.0,0,0
6,0,57,1.839,0.454,27.867,3.636,0.968,0.968,0,0
6,0,54,1.6,0.724,30.519,4.327,0.839,0.871,0,0
6,0,51,0.179,0.548,35.0,3.578,0.097,0.194,0,0
6,0,48,0.0,0.0,,,0.0,0.0,0,0
6,0,45,0.0,0.0,,,0.0,0.0,0,0
6,0,42,0.0,0.0,,,0.0,0.0,0,0
6,0,39,0.0,0.0,,,0.0,0.0,0,0
6,0,36,0.0,0.0,,,0.0,0.0,0,0
6,0,33,0.0,0.0,,,0.0,0.0,0,0
6,0,30,0.0,0.0,,,0.0,0.0,0,0
7,0,87,4.935,0.25,14.581,0.502,1.0,1.0,0,0
7,0,84,4.71,0.461,15.0,0.577,1.0,1.0,0,0
7,0,81,4.355,0.486,15.323,0.475,1.0,1.0,0,0
7,0,78,4.29,0.461,15.71,0.693,1.0,1.0,0,0
7,0,75,4.0,0.0,16.129,0.562,1.0,1.0,0,0
7,0,72,4.0,0.0,16.548,0.888,1.0,1.0,0,0
7,0,69,4.0,0.0,16.903,0.473,1.0,1.0,0,0
7,0,66,3.613,0.558,17.419,0.848,1.0,1.0,0,0
7,0,63,3.097,0.597,18.29,0.902,1.0,1.0,0,0
7,0,60,2.419,0.564,19.226,0.956,1.0,1.0,0,0
7,0,57,2.129,0.341,20.516,1.71,1.0,1.0,0,0
7,0,54,2.0,0.0,21.839,1.003,1.0,1.0,0,0
7,0,51,1.871,0.341,23.71,2.572,1.0,1.0,0,0
7,0,48,1.733,0.583,26.793,3.509,0.903,0.935,0,0
7,0,45,1.0,0.756,28.174,4.366,0.677,0.742,0,0
7,0,42,0.321,0.67,33.556,5.199,0.194,0.29,0,0
7,0,39,0.0,0.0,,,0.0,0.0,0,0
7,0,36,0.0,0.0,,,0.0,0.0,0,0
7,0,33,0.0,0.0,,,0.0,0.0,0,0
7,0,30,0.0,0.0,,,0.0,0.0,0,0
8,0,87,4.0,0.0,15.806,0.703,1.0,1.0,0,0
8,0,84,4.032,0.18,16.29,0.529,1.0,1.0,0,0
8,0,81,4.032,0.18,16.774,0.56,1.0,1.0,0,0
8,0,78,3.968,0.18,17.129,0.619,1.0,1.0,0,0
8,0,75,3.806,0.477,17.806,0.703,1.0,1.0,0,0
8,0,72,3.226,0.762,18.161,0.934,1.0,1.0,0,0
8,0,69,2.548,0.723,18.871,0.957,1.0,1.0,0,0
8,0,66,2.29,0.529,19.806,1.195,1.0,1.0,0,0
8,0,63,2.0,0.0,21.323,0.945,1.0,1.0,0,0
8,0,60,2.0,0.0,22.419,1.057,1.0,1.0,0,0
8,0,57,2.0,0.0,24.323,2.242,1.0,1.0,0,0
8,0,54,1.867,0.346,26.677,3.807,0.968,1.0,0,0
8,0,51,1.6,0.724,30.704,3.821,0.839,0.871,0,0
8,0,48,0.286,0.659,36.0,7.309,0.161,0.258,0,0
8,0,45,0.0,0.0,,,0.0,0.0,0,0
8,0,42,0.0,0.0,,,0.0,0.0,0,0
8,0,39,0.0,0.0,,,0.0,0.0,0,0
8,0,36,0.0,0.0,,,0.0,0.0,0,0
8,0,33,0.0,0.0,,,0.0,0.0,0,0
8,0,30,0.0,0.0,,,0.0,0.0,0,0
9,0,87,5.032,0.18,16.871,0.562,1.0,1.0,0,0
9,0,84,4.935,0.25,17.032,0.547,1.0,1.0,0,0
9,0,81,4.935,0.25,17.581,0.502,1.0,1.0,0,0
9,0,78,3.806,0.654,18.387,0.761,1.0,1.0,0,0
9,0,75,3.29,0.588,19.0,0.966,1.0,1.0,0,0
9,0,72,3.032,0.18,20.065,0.929,1.0,1.0,0,0
9,0,69,2.935,0.25,21.194,1.108,1.0,1.0,0,0
9,0,66,2.903,0.301,22.516,1.435,1.0,1.0,0,0
9,0,63,2.613,0.495,24.129,1.565,1.0,1.0,0,0
9,0,60,2.29,0.461,25.419,1.523,1.0,1.0,0,0
9,0,57,1.935,0.359,29.194,3.24,1.0,1.0,0,0
9,0,54,1.484,0.57,33.167,3.206,0.968,0.968,0,0
9,0,51,0.548,0.675,37.357,3.895,0.452,0.452,0,0
9,0,48,0.0,0.0,,,0.0,0.0,0,0
9,0,45,0.0,0.0,,,0.0,0.0,0,0
9,0,42,0.0,0.0,,,0.0,0.0,0,0
9,0,39,0.0,0.0,,,0.0,0.0,0,0
9,0,36,0.0,0.0,,,0.0,0.0,0,0
9,0,33,0.0,0.0,,,0.0,0.0,0,0
9,0,30,0.0,0.0,,,0.0,0.0,0,0
10,0,87,4.032,0.18,16.677,0.599,1.0,1.0,0,0
10,0,84,3.968,0.315,17.129,0.67,1.0,1.0,0,0
10,0,81,3.935,0.359,17.484,0.57,1.0,1.0,0,0
10,0,78,3.516,0.626,18.226,0.717,1.0,1.0,0,0
10,0,75,2.903,0.651,18.774,0.669,1.0,1.0,0,0
10,0,72,2.516,0.57,19.968,1.251,1.0,1.0,0,0
10,0,69,2.032,0.18,20.742,1.182,1.0,1.0,0,0
10,0,66,2.032,0.18,22.097,1.3,1.0,1.0,0,0
10,0,63,1.968,0.18,23.806,1.558,1.0,1.0,0,0
10,0,60,2.0,0.0,25.581,1.911,1.0,1.0,0,0
10,0,57,1.621,0.677,30.5,3.844,0.839,0.903,0,0
10,0,54,0.84,0.8,34.286,4.149,0.484,0.677,0,0
10,0,51,0.103,0.31,37.4,0.894,0.097,0.161,0,0
10,0,48,0.0,0.0,,,0.0,0.0,0,0
10,0,45,0.0,0.0,,,0.0,0.0,0,0
10,0,42,0.0,0.0,,,0.0,0.0,0,0
10,0,39,0.0,0.0,,,0.0,0.0,0,0
10,0,36,0.0,0.0,,,0.0,0.0,0,0
10,0,33,0.0,0.0,,,0.0,0.0,0,0
10,0,30,0.0,0.0,,,0.0,0.0,0,0
11,0,87,4.355,0.486,15.387,0.495,1.0,1.0,0,0
11,0,84,4.129,0.428,15.839,0.735,1.0,1.0,0,0
11,0,81,3.935,0.25,16.226,0.717,1.0,1.0,0,0
11,0,78,4.0,0.0,16.871,0.846,1.0,1.0,0,0
11,0,75,3.839,0.374,17.29,0.693,1.0,1.0,0,0
11,0,72,3.387,0.667,17.839,0.779,1.0,1.0,0,0
11,0,69,2.871,0.763,18.71,0.824,1.0,1.0,0,0
11,0,66,2.355,0.551,19.548,1.767,1.0,1.0,0,0
11,0,63,2.0,0.258,20.839,1.098,1.0,1.0,0,0
11,0,60,1.871,0.67,22.1,2.123,0.968,0.968,0,0
11,0,57,1.581,0.502,23.968,2.442,1.0,1.0,0,0
11,0,54,1.29,0.643,26.071,2.403,0.903,0.903,0,0
11,0,51,0.923,0.744,30.0,4.09,0.581,0.742,0,0
11,0,48,0.0,0.0,37.0,0.0,0.0,0.032,0,0
11,0,45,0.0,0.0,,,0.0,0.0,0,0
11,0,42,0.0,0.0,,,0.0,0.0,0,0
11,0,39,0.0,0.0,,,0.0,0.0,0,0
11,0,36,0.0,0.0,,,0.0,0.0,0,0
11,0,33,0.0,0.0,,,0.0,0.0,0,0
11,0,30,0.0,0.0,,,0.0,0.0,0,0
12,0,87,4.968,0.18,16.581,0.502,1.0,1.0,0,0
12,0,84,4.903,0.396,16.903,0.651,1.0,1.0,0,0
12,0,81,4.581,0.62,17.452,1.434,1.0,1.0,0,0
12,0,78,4.065,0.629,18.0,0.516,1.0,1.0,0,0
12,0,75,3.29,0.461,18.452,0.723,1.0,1.0,0,0
12,0,72,3.0,0.0,19.419,0.807,1.0,1.0,0,0
12,0,69,3.0,0.0,20.516,1.029,1.0,1.0,0,0
12,0,66,3.0,0.0,20.968,1.048,1.0,1.0,0,0
12,0,63,2.645,0.486,22.258,1.182,1.0,1.0,0,0
12,0,60,2.484,0.508,23.774,1.765,1.0,1.0,0,0
12,0,57,2.161,0.374,26.71,2.747,1.0,1.0,0,0
12,0,54,2.0,0.365,29.0,3.12,1.0,1.0,0,0
12,0,51,1.355,0.608,34.793,4.37,0.935,0.935,0,0
12,0,48,0.452,0.675,36.727,6.101,0.355,0.355,0,0
12,0,45,0.0,0.0,,,0.0,0.0,0,0
12,0,42,0.0,0.0,,,0.0,0.0,0,0
12,0,39,0.0,0.0,,,0.0,0.0,0,0
12,0,36,0.0,0.0,,,0.0,0.0,0,0
12,0,33,0.0,0.0,,,0.0,0.0,0,0
12,0,30,0.0,0.0,,,0.0,0.0,0,0
13,0,87,2.581,0.502,18.194,0.792,1.0,1.0,0,0
13,0,84,2.129,0.341,19.0,0.73,1.0,1.0,0,0
13,0,81,2.0,0.0,19.839,0.969,1.0,1.0,0,0
13,0,78,2.0,0.0,20.968,1.197,1.0,1.0,0,0
13,0,75,1.903,0.301,21.935,2.265,1.0,1.0,0,0
13,0,72,1.742,0.445,23.194,1.25,1.0,1.0,0,0
13,0,69,1.355,0.486,25.871,2.54,1.0,1.0,0,0
13,0,66,0.897,0.31,28.679,3.821,0.839,0.903,0,0
13,0,63,0.538,0.508,31.895,3.74,0.452,0.613,0,0
13,0,60,0.0,0.0,,,0.0,0.0,0,0
13,0,57,0.0,0.0,,,0.0,0.0,0,0
13,0,54,0.0,0.0,,,0.0,0.0,0,0
13,0,51,0.0,0.0,,,0.0,0.0,0,0
13,0,48,0.0,0.0,,,0.0,0.0,0,0
13,0,45,0.0,0.0,,,0.0,0.0,0,0
13,0,42,0.0,0.0,,,0.0,0.0,0,0
13,0,39,0.0,0.0,,,0.0,0.0,0,0
13,0,36,0.0,0.0,,,0.0,0.0,0,0
13,0,33,0.0,0.0,,,0.0,0.0,0,0
13,0,30,0.0,0.0,,,0.0,0.0,0,0
14,0,87,3.935,0.25,16.258,0.575,1.0,1.0,0,0
14,0,84,3.581,0.502,16.839,0.688,1.0,1.0,0,0
14,0,81,3.258,0.575,17.387,0.715,1.0,1.0,0,0
14,0,78,3.065,0.68,17.677,0.653,1.0,1.0,0,0
14,0,75,2.516,0.626,18.548,0.888,1.0,1.0,0,0
14,0,72,2.194,0.402,19.419,1.057,1.0,1.0,0,0
14,0,69,1.871,0.428,20.065,1.124,1.0,1.0,0,0
14,0,66,1.677,0.475,21.484,1.151,1.0,1.0,0,0
14,0,63,1.484,0.508,22.774,1.407,1.0,1.0,0,0
14,0,60,1.129,0.428,25.033,2.498,0.968,0.968,0,0
14,0,57,0.6,0.621,28.176,5.365,0.516,0.548,0,0
14,0,54,0.097,0.301,28.0,5.292,0.097,0.097,0,0
