voltage,efficiency_toa
57,1.0
54,0.8
51,0.1
48,0.0
45,0.0
42,0.0
39,0.0
36,0.0
33,0.0
30,0.0
57,0.4
54,0.5
51,0.0
48,0.0
45,0.0
42,0.0
39,0.0
36,0.0
33,0.0
30,0.0
57,0.4
54,0.0
51,0.0
48,0.0
45,0.0
42,0.0
39,0.0
36,0.0
33,0.0
30,0.0
57,0.2
54,0.1
51,0.0
48,0.0
45,0.0
42,0.0
39,0.0
36,0.0
33,0.0
30,0.0
