voltage,tot_mean_ns,tot_std_ns
44,0.0,0.0
47,0.0,0.0
50,0.0,0.0
53,0.2810546875,0.8058593749999999
56,8.04345703125,7.944921875000002
59,24.46865234375,9.095507812500001
62,36.76533203125,10.098046875
65,48.1484375,7.510546875000001
68,55.81855468750001,5.61064453125
71,60.70781249999999,5.21181640625
74,65.53701171875,5.24921875
77,69.86787109375,5.0487304687500005
100,101.77373046875,5.321484375000001
140,153.33349609375003,5.816015625
180,202.11738281249998,6.63583984375
220,245.95585937500002,6.049609375000001
260,285.50947265624995,6.3767578125
300,319.90322265624997,6.6698242187500005
340,349.06435546874997,6.55390625
380,372.14277343749995,6.690332031250001
420,390.54365234375,6.2791992187500005
