xs,ys
30.0,0.0
30.1356783919598,0.0
30.271356783919597,0.0
30.407035175879397,0.0
30.542713567839197,0.0
30.678391959798994,0.0
30.814070351758794,0.0
30.949748743718594,0.0
31.08542713567839,0.0
31.22110552763819,0.0
31.35678391959799,0.0
31.492462311557787,0.0
31.628140703517587,0.0
31.763819095477388,0.0
31.899497487437188,0.0
32.03517587939699,0.0
32.17085427135678,0.0
32.30653266331658,0.0
32.44221105527638,0.0
32.57788944723618,0.0
32.71356783919598,0.0
32.84924623115578,0.0
32.984924623115575,0.0
33.120603015075375,0.0
33.256281407035175,0.0
33.391959798994975,0.0
33.527638190954775,0.0
33.663316582914575,0.0
33.798994974874375,0.0
33.93467336683417,0.0
34.07035175879397,0.0
34.20603015075377,0.0
34.34170854271357,0.0
34.47738693467337,0.0
34.61306532663316,0.0
34.74874371859296,0.0
34.88442211055276,0.0
35.02010050251256,0.0
35.15577889447236,0.0
35.29145728643216,0.0
35.42713567839196,0.0
35.562814070351756,0.0
35.698492462311556,0.0
35.834170854271356,0.0
35.969849246231156,0.0
36.10552763819096,0.0
36.24120603015076,0.0
36.37688442211055,0.0
36.51256281407035,0.0
36.64824120603015,0.0
36.78391959798995,0.0
36.91959798994975,0.0
37.05527638190955,0.0
37.19095477386935,0.0
37.32663316582914,0.0
37.462311557788944,0.0
37.597989949748744,0.0
37.733668341708544,0.0
37.869346733668344,0.0
38.00502512562814,0.0
38.14070351758794,5.551115123125783e-17
38.27638190954774,2.7755575615628914e-16
38.41206030150754,2.0539125955565396e-15
38.54773869346734,1.4432899320127035e-14
38.68341708542714,9.564571357145724e-14
38.81909547738694,5.95967719618784e-13
38.95477386934674,3.495037592671224e-12
39.09045226130653,1.929295612157489e-11
39.22613065326633,1.0024886476500683e-10
39.36180904522613,4.903811245959844e-10
39.49748743718593,2.258412457045722e-09
39.63316582914573,9.793425403969991e-09
39.768844221105525,3.9992598288574044e-08
39.904522613065325,1.538140475543237e-07
40.040201005025125,5.572477482784777e-07
40.175879396984925,1.9019935163511192e-06
40.311557788944725,6.117299076902061e-06
40.447236180904525,1.8543537332438298e-05
40.582914572864325,5.299223987620394e-05
40.71859296482412,0.0001428032207893004
40.85427135678392,0.00036299958553753786
40.98994974874372,0.0008707095656091401
41.12562814070352,0.00197160679469216
41.26130653266332,0.004216543015269192
41.39698492462311,0.008521689842881652
41.53266331658291,0.016285934215193698
41.66834170854271,0.029454490960683755
41.80402010050251,0.05045865289387652
41.93969849246231,0.0819652225555001
42.07537688442211,0.1264105192403448
42.21105527638191,0.1853735383959509
42.34673366834171,0.25893715471066137
42.482412060301506,0.3452501264065063
42.618090452261306,0.44049000760804957
42.753768844221106,0.5393206188252286
42.88944723618091,0.6357687927700679
43.0251256281407,0.7242857362390556
43.1608040201005,0.8006849003677143
43.2964824120603,0.8626975771859482
43.4321608040201,0.9100346987568624
43.5678391959799,0.9440169762864008
43.7035175879397,0.966959020237778
43.8391959798995,0.9815250231126922
43.9748743718593,0.99022217298624
44.11055276381909,0.9951057873951008
44.246231155778894,0.9976846793679236
44.381909547738694,0.9989653922569344
44.517587939698494,0.9995635237692263
44.653266331658294,0.9998262281059267
44.78894472361809,0.9999347363642637
44.92462311557789,0.9999768849132864
45.06030150753769,0.9999922815548803
45.19597989949749,0.9999975707808012
45.33165829145729,0.9999992795371847
45.46733668341709,0.9999997986828456
45.60301507537689,0.9999999470092424
45.73869346733669,0.9999999868627787
45.87437185929648,0.9999999969328721
46.01005025125628,0.9999999993257325
46.14572864321608,0.9999999998604412
46.28140703517588,0.9999999999728066
46.417085427135675,0.9999999999950122
46.552763819095475,0.9999999999991389
46.688442211055275,0.9999999999998601
46.824120603015075,0.9999999999999787
46.959798994974875,0.9999999999999969
47.095477386934675,0.9999999999999996
47.231155778894475,1.0
47.366834170854275,1.0
47.502512562814076,1.0
47.63819095477387,1.0
47.77386934673367,1.0
47.90954773869347,1.0
48.04522613065326,1.0
48.18090452261306,1.0
48.31658291457286,1.0
48.45226130653266,1.0
48.58793969849246,1.0
48.72361809045226,1.0
48.85929648241206,1.0
48.99497487437186,1.0
49.13065326633166,1.0
49.26633165829146,1.0
49.402010050251256,1.0
49.537688442211056,1.0
49.67336683417086,1.0
49.80904522613065,1.0
49.94472361809045,1.0
50.08040201005025,1.0
50.21608040201005,1.0
50.35175879396985,1.0
50.48743718592965,1.0
50.62311557788945,1.0
50.75879396984925,1.0
50.89447236180905,1.0
51.030150753768844,1.0
51.165829145728644,1.0
51.301507537688444,1.0
51.43718592964824,1.0
51.57286432160804,1.0
51.70854271356784,1.0
51.84422110552764,1.0
51.97989949748744,1.0
52.11557788944724,1.0
52.25125628140704,1.0
52.38693467336684,1.0
52.52261306532664,1.0
52.65829145728644,1.0
52.79396984924623,1.0
52.92964824120603,1.0
53.06532663316583,1.0
53.201005025125625,1.0
53.336683417085425,1.0
53.472361809045225,1.0
53.608040201005025,1.0
53.743718592964825,1.0
53.879396984924625,1.0
54.015075376884425,1.0
54.150753768844226,1.0
54.286432160804026,1.0
54.42211055276382,1.0
54.55778894472362,1.0
54.69346733668342,1.0
54.82914572864321,1.0
54.96482412060301,1.0
55.10050251256281,1.0
55.23618090452261,1.0
55.37185929648241,1.0
55.50753768844221,1.0
55.64321608040201,1.0
55.77889447236181,1.0
55.91457286432161,1.0
56.050251256281406,1.0
56.185929648241206,1.0
56.321608040201006,1.0
56.45728643216081,1.0
