voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
103	3.871	2.141	9.0	0.0	0.774	0.774
100	5.032	0.18	9.065	0.25	1.0	1.0
97	5.0	0.0	9.065	0.25	1.0	1.0
94	5.0	0.0	9.161	0.374	1.0	1.0
91	4.645	0.486	9.419	0.502	1.0	1.0
88	4.548	0.506	9.484	0.508	1.0	1.0
85	4.258	0.445	9.645	0.486	1.0	1.0
82	4.032	0.18	9.968	0.315	1.0	1.0
79	4.032	0.18	10.0	0.0	1.0	1.0
76	4.0	0.0	10.0	0.258	1.0	1.0
73	3.968	0.18	10.0	0.0	1.0	1.0
70	3.806	0.402	10.258	0.445	1.0	1.0
67	3.742	0.445	10.548	0.506	1.0	1.0
64	3.226	0.425	10.774	0.56	1.0	1.0
61	3.129	0.341	11.0	0.258	1.0	1.0
58	3.0	0.0	11.258	0.445	1.0	1.0
55	2.968	0.18	11.806	0.601	1.0	1.0
52	2.935	0.25	12.226	0.92	1.0	1.0
49	2.71	0.461	12.548	0.624	1.0	1.0
46	2.387	0.495	13.581	0.672	1.0	1.0
43	2.097	0.301	14.677	1.194	1.0	1.0
40	2.032	0.18	15.29	1.189	1.0	1.0
37	1.581	0.564	17.833	2.086	0.968	0.968
34	1.259	0.447	20.903	4.126	0.871	1.0
31	0.111	0.32	23.286	2.628	0.097	0.226
28	0.0	0.0	nan	nan	0.0	0.0
