voltage,toa_mean_ns,toa_std_ns
44,,
47,,
50,,
53,43.85525,7.00895128209469
56,38.67753164556962,5.158281399392613
59,33.954156494140626,3.8154329809201637
62,29.676611328125002,3.1027309757979853
65,27.05828247070312,2.588178936543202
68,25.33785400390625,2.2281640994531235
71,24.043756103515623,2.0448924854003434
74,23.02264404296875,1.9206934086522895
77,22.16363525390625,1.816925417607482
100,18.5802734375,1.50696343118705
140,16.458026123046878,1.333187756112989
180,15.680731201171874,1.3412357733644158
220,15.293017578125001,1.3206878336953507
260,15.065435791015624,1.2685766207045464
300,14.953430175781252,1.2527611363969162
340,14.897680664062502,1.2439339097631836
380,14.880963134765626,1.2372760584283573
420,14.886065673828124,1.2421350505226152
