voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
500	19.185	0.533	11.663	25.649	0.92	0.92
490	19.02	0.141	9.0	0.0	1.0	1.0
480	18.94	0.239	9.0	0.0	1.0	1.0
470	18.81	0.394	9.0	0.0	1.0	1.0
460	18.4	0.492	9.0	0.0	1.0	1.0
450	18.09	0.288	9.0	0.0	1.0	1.0
440	17.97	0.171	8.99	0.1	1.0	1.0
430	17.85	0.359	9.0	0.0	1.0	1.0
420	17.41	0.494	9.0	0.0	1.0	1.0
410	17.08	0.273	8.98	0.141	1.0	1.0
400	17.0	0.201	9.0	0.0	1.0	1.0
390	16.84	0.368	8.99	0.1	1.0	1.0
380	16.4	0.492	9.0	0.0	1.0	1.0
370	16.09	0.321	9.0	0.0	1.0	1.0
360	15.98	0.141	8.98	0.141	1.0	1.0
350	15.74	0.441	9.0	0.0	1.0	1.0
340	15.21	0.409	8.99	0.1	1.0	1.0
330	15.01	0.174	9.0	0.0	1.0	1.0
320	14.7	0.461	9.0	0.0	1.0	1.0
310	14.27	0.446	9.0	0.0	1.0	1.0
300	13.98	0.141	9.0	0.0	1.0	1.0
290	13.76	0.429	9.0	0.0	1.0	1.0
280	13.14	0.349	9.0	0.0	1.0	1.0
270	12.99	0.1	9.0	0.0	1.0	1.0
260	12.64	0.482	9.0	0.0	1.0	1.0
250	12.06	0.239	9.0	0.0	1.0	1.0
240	11.93	0.256	9.0	0.0	1.0	1.0
230	11.3	0.461	9.0	0.0	1.0	1.0
220	10.99	0.1	8.99	0.1	1.0	1.0
210	10.47	0.521	9.0	0.0	1.0	1.0
200	9.763	1.214	16.935	43.7	0.97	0.93
190	9.57	1.165	11.828	26.374	0.93	0.87
180	8.205	1.847	16.338	41.857	0.78	0.68
170	8.054	1.865	33.6	74.423	0.74	0.6
160	7.5	1.396	41.883	84.298	0.6	0.6
150	7.19	1.585	43.66	86.139	0.63	0.5
140	6.597	1.115	20.606	51.549	0.67	0.66
130	6.578	0.973	19.627	48.039	0.64	0.51
120	5.814	0.682	56.434	96.678	0.59	0.53
110	5.785	2.89	26.948	62.611	0.79	0.58
100	4.838	0.589	40.449	80.986	0.68	0.49
90	5.115	2.883	18.933	44.224	0.78	0.6
80	4.013	0.113	40.149	79.712	0.78	0.67
70	3.96	0.197	36.271	73.436	0.75	0.7
60	3.661	3.44	33.51	66.736	0.62	0.49
50	2.844	0.623	44.755	75.883	0.64	0.53
40	3.6	5.701	188.444	104.55	0.25	0.27
30	3.941	0.243	255.0	0.0	0.17	0.15
