dac_th	t_up	pixel_x	pixel_y	cap50	cap25	cap_csa_load	efficiency_tot_mu	efficiency_tot_sigma	efficiency_tot_status	efficiency_toa_mu	efficiency_toa_sigma	efficiency_toa_status
0	1	5	5	1	0	0	46.78530270242293	1.686744065235024	Success	46.478810487333206	1.618989189096489	Success
1	1	5	5	1	0	0	46.987875973510754	1.7644978992670595	Success	46.43225391293073	1.8466073709310378	Success
2	1	5	5	1	0	0	47.08414656807061	1.7390992433016914	Success	46.64739106855132	1.913733989554852	Success
4	1	5	5	1	0	0	46.503735579158686	0.5835338088731588	Success	46.3949732114078	0.6080967966555604	Success
8	1	5	5	1	0	0	46.30196277951065	1.8660372985545857	Success	46.171472515137246	1.860195742986389	Success
12	1	5	5	1	0	0	47.09511112670623	1.6783663808356186	Success	46.756245404016276	1.920383004072003	Success
16	1	5	5	1	0	0	46.86634298724274	1.1519026908993553	Success	46.77879949815583	1.1989521114119892	Success
20	1	5	5	1	0	0	46.361648474019	1.654869775523606	Success	45.85766515608041	1.533011382432246	Success
24	1	5	5	1	0	0	46.900466133925434	1.385590614774467	Success	46.29015250121993	0.6316917284497892	Success
28	1	5	5	1	0	0	46.3949732114078	0.6080967966555604	Success	46.29015250121993	0.6316917284497892	Success
31	1	5	5	1	0	0	46.18046509696294	1.4298340044842728	Success	45.932431026795335	1.419727071165085	Success
