voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
500	19.4	0.5163977794943223	nan	nan	1.0
499	19.2	0.4216370213557839	nan	nan	1.0
498	19.3	0.48304589153964794	nan	nan	1.0
497	19.3	0.48304589153964794	nan	nan	1.0
496	20.3	0.48304589153964794	nan	nan	1.0
495	19.1	2.4698178070456938	nan	nan	1.0
494	20.3	0.48304589153964794	nan	nan	1.0
493	19.1	0.31622776601683794	nan	nan	1.0
492	19.2	0.4216370213557839	nan	nan	1.0
491	19.1	0.31622776601683794	nan	nan	1.0
490	19.1	0.31622776601683794	nan	nan	1.0
489	19.2	0.4216370213557839	nan	nan	1.0
488	19.2	0.4216370213557839	nan	nan	1.0
487	19.1	0.31622776601683794	nan	nan	1.0
486	19.1	0.31622776601683794	nan	nan	1.0
485	19.0	0.4714045207910317	nan	nan	1.0
484	19.1	0.31622776601683794	nan	nan	1.0
483	19.0	0.4714045207910317	nan	nan	1.0
482	19.0	0.4714045207910317	nan	nan	1.0
481	18.9	0.5676462121975467	nan	nan	1.0
480	19.0	0.0	nan	nan	1.0
479	18.7	0.48304589153964794	nan	nan	1.0
478	18.8	0.4216370213557839	nan	nan	1.0
477	18.8	0.4216370213557839	nan	nan	1.0
476	19.25	0.7071067811865476	255.0	0.0	0.8
475	nan	nan	nan	nan	0.0
474	nan	nan	nan	nan	0.0
473	nan	nan	nan	nan	0.0
472	nan	nan	nan	nan	0.0
471	nan	nan	nan	nan	0.0
470	nan	nan	nan	nan	0.0
469	nan	nan	nan	nan	0.0
468	nan	nan	nan	nan	0.0
467	nan	nan	nan	nan	0.0
466	nan	nan	nan	nan	0.0
465	nan	nan	nan	nan	0.0
464	nan	nan	nan	nan	0.0
463	nan	nan	nan	nan	0.0
