voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
510	16.489795918367346	0.5050762722761054	nan	nan	0.98
509	16.482758620689655	0.5744991393237625	255.0	0.0	0.58
508	nan	nan	nan	nan	0.0
507	nan	nan	nan	nan	0.0
506	nan	nan	nan	nan	0.0
505	nan	nan	nan	nan	0.0
504	nan	nan	nan	nan	0.0
503	nan	nan	nan	nan	0.0
502	nan	nan	nan	nan	0.0
501	nan	nan	nan	nan	0.0
500	16.416666666666668	0.6685579234215214	255.0	0.0	0.24
499	nan	nan	nan	nan	0.0
498	nan	nan	nan	nan	0.0
497	nan	nan	nan	nan	0.0
496	nan	nan	nan	nan	0.0
495	nan	nan	nan	nan	0.0
