voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
515	16.1	0.31622776601683794	nan	nan	1.0
514	16.1	0.31622776601683794	nan	nan	1.0
513	16.3	0.48304589153964794	nan	nan	1.0
512	16.2	0.4216370213557839	nan	nan	1.0
511	16.555555555555557	0.7264831572567789	255.0	0.0	0.9
510	nan	nan	nan	nan	0.0
509	nan	nan	nan	nan	0.0
508	nan	nan	nan	nan	0.0
507	nan	nan	nan	nan	0.0
506	nan	nan	nan	nan	0.0
505	nan	nan	nan	nan	0.0
504	nan	nan	nan	nan	0.0
503	nan	nan	nan	nan	0.0
502	nan	nan	nan	nan	0.0
501	nan	nan	nan	nan	0.0
500	nan	nan	nan	nan	0.0
499	nan	nan	nan	nan	0.0
498	nan	nan	nan	nan	0.0
497	nan	nan	nan	nan	0.0
496	nan	nan	nan	nan	0.0
495	nan	nan	nan	nan	0.0
