voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
70	4.5	0.5270462766947299	nan	nan	1.0
69	4.2	0.4216370213557839	nan	nan	1.0
68	4.6	0.5163977794943223	nan	nan	1.0
67	4.2	0.4216370213557839	nan	nan	1.0
66	4.5	0.5270462766947299	nan	nan	1.0
65	4.3	0.48304589153964794	nan	nan	1.0
64	4.1	0.31622776601683794	nan	nan	1.0
63	4.1	0.31622776601683794	nan	nan	1.0
62	4.0	0.0	nan	nan	1.0
61	4.0	0.0	nan	nan	1.0
60	4.0	0.0	nan	nan	1.0
59	4.0	0.0	nan	nan	1.0
58	3.9	0.31622776601683794	nan	nan	1.0
57	4.0	0.0	nan	nan	1.0
56	3.9	0.31622776601683794	nan	nan	1.0
55	3.8	0.4216370213557839	nan	nan	1.0
54	3.8	0.4216370213557839	nan	nan	1.0
53	3.8	0.4216370213557839	nan	nan	1.0
52	3.7	0.48304589153964794	nan	nan	1.0
51	3.8	0.4216370213557839	nan	nan	1.0
50	3.7	0.48304589153964794	nan	nan	1.0
49	3.5	0.5270462766947299	nan	nan	1.0
48	3.4	0.5163977794943223	nan	nan	1.0
47	3.0	0.0	nan	nan	1.0
46	3.2	0.4216370213557839	nan	nan	1.0
45	3.2	0.4216370213557839	nan	nan	1.0
44	3.1	0.31622776601683794	nan	nan	1.0
43	3.0	0.0	nan	nan	1.0
42	3.2857142857142856	0.7559289460184545	255.0	0.0	0.7
41	nan	nan	nan	nan	0.0
40	nan	nan	nan	nan	0.0
