voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
70	2.0	0.0	nan	nan	1.0
69	2.0	0.0	nan	nan	1.0
68	2.0	0.0	nan	nan	1.0
67	2.0	0.0	nan	nan	1.0
66	2.0	0.0	nan	nan	1.0
65	2.0	0.0	nan	nan	1.0
64	1.9	0.31622776601683794	nan	nan	1.0
63	1.8	0.4216370213557839	nan	nan	1.0
62	1.7	0.48304589153964794	nan	nan	1.0
61	1.8	0.6324555320336759	255.0	0.0	1.0
60	nan	nan	nan	nan	0.0
59	nan	nan	nan	nan	0.0
58	nan	nan	nan	nan	0.0
57	nan	nan	nan	nan	0.0
56	nan	nan	nan	nan	0.0
55	nan	nan	nan	nan	0.0
54	nan	nan	nan	nan	0.0
53	nan	nan	nan	nan	0.0
52	nan	nan	nan	nan	0.0
51	nan	nan	nan	nan	0.0
50	nan	nan	nan	nan	0.0
49	nan	nan	nan	nan	0.0
48	nan	nan	nan	nan	0.0
47	nan	nan	nan	nan	0.0
