voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency
550	16.8	0.4216370213557839	nan	nan	1.0
545	16.7	0.48304589153964794	nan	nan	1.0
540	16.7	0.48304589153964794	nan	nan	1.0
535	16.3	0.48304589153964794	nan	nan	1.0
530	16.7	0.48304589153964794	nan	nan	1.0
525	16.2	0.4216370213557839	nan	nan	1.0
520	16.6	0.5163977794943223	nan	nan	1.0
515	16.5	0.5270462766947299	nan	nan	1.0
510	16.0	0.0	nan	nan	1.0
505	16.3	0.48304589153964794	nan	nan	1.0
500	17.333333333333332	0.5773502691896257	255.0	0.0	0.3
495	nan	nan	nan	nan	0.0
490	nan	nan	nan	nan	0.0
485	nan	nan	nan	nan	0.0
480	nan	nan	nan	nan	0.0
475	nan	nan	nan	nan	0.0
470	nan	nan	nan	nan	0.0
465	nan	nan	nan	nan	0.0
460	nan	nan	nan	nan	0.0
455	nan	nan	nan	nan	0.0
450	nan	nan	nan	nan	0.0
